"genes","naiveB_S1R1","naiveB_S1R2","naiveB_S1R3","naiveB_S1R4","naiveB_S2R1","naiveB_S2R2","naiveB_S2R3","naiveB_S2R4","naiveB_S3R1","naiveB_S3R2","naiveB_S3R3"
"ENSG00000012983","578","1200","3936","1374","667","887","541","709","655","1179","534"
"ENSG00000013016","2","477","0","0","176","1062","513","421","456","268","80"
"ENSG00000013275","1957","1100","2540","64","761","526","672","970","173","344","107"
"ENSG00000013288","603","556","1519","84","1297","1276","728","825","489","789","149"
"ENSG00000013293","0","0","744","110","0","0","0","0","0","3","0"
"ENSG00000013297","0","0","0","33","1","4","8","10","1","3","1"
"ENSG00000013306","2273","1299","4","1","3578","2791","1578","9288","227","441","71"
"ENSG00000013364","782","667","71","109","1349","1166","1253","2161","175","173","42"
"ENSG00000013374","197","919","621","584","1097","1161","825","1219","1123","1545","412"
"ENSG00000013375","2","103","11","168","255","341","162","178","418","485","69"
"ENSG00000013392","0","101","0","0","45","12","111","36","54","85","10"
"ENSG00000013441","4416","18377","92306","10951","4789","5815","4755","4992","3937","5552","4567"
"ENSG00000013503","113","40","5","92","217","270","223","119","177","335","60"
"ENSG00000013523","1","152","4","169","548","944","357","682","361","416","52"
"ENSG00000013561","0","181","0","23","455","558","440","430","210","271","97"
"ENSG00000013563","0","93","1","0","96","127","59","89","64","46","13"
"ENSG00000013573","441","88","154","179","593","242","162","679","73","233","43"
"ENSG00000013583","70","154","4","94","140","108","98","112","17","58","18"
"ENSG00000013588","0","0","0","206","0","0","0","0","0","1","1"
"ENSG00000013619","235","111","116","19","25","100","56","0","91","60","9"
"ENSG00000013725","18","54","822","2","256","519","173","11","25","60","13"
"ENSG00000013810","881","370","759","4","399","438","535","459","195","395","155"
"ENSG00000014123","124","1396","347","1026","900","909","869","834","974","1560","608"
"ENSG00000014138","1","1","100","3","52","25","44","95","10","88","14"
"ENSG00000014164","132","269","0","0","367","411","423","524","68","174","21"
"ENSG00000014216","660","732","1","0","1543","3054","1933","2008","491","700","161"
"ENSG00000014257","0","35","0","0","57","14","41","49","12","10","4"
"ENSG00000014641","4977","2778","4763","2349","1117","942","1182","1123","518","582","229"
"ENSG00000014824","182","951","111","452","782","1468","653","725","649","998","450"
"ENSG00000014914","0","0","32","7","35","36","132","152","1","5","1"
"ENSG00000014919","147","670","5","716","517","879","465","423","359","453","135"
"ENSG00000015133","1884","417","183","566","1759","1933","1239","833","1198","2133","600"
"ENSG00000015153","657","872","21","662","542","397","239","211","592","716","252"
